sample_name	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_matter	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	title	treatment
11128.17.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	17	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.20.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	20	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.21.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	21	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
11128.24.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	24	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
11128.27.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	27	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.28.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	28	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.29.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	29	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.30.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	30	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.48.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	48	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.49.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	49	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
