sample_name	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_matter	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	title	treatment
11128.51.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	51	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.54.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	54	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.55.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	55	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
11128.56.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	56	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.57.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	57	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.59.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	59	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.65.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	65	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
11128.67.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	67	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.68.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	68	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.70.FDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	70	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSoy
11128.72.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	72	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.74.FDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	74	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCMilk
11128.75.MDCMilk	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCMilk	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	75	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCMilk
11128.77.MDCSoy	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSoy	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	77	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSoy
11128.80.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	80	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.81.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	81	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.82.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	82	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.83.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	83	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.84.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	84	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.85.MDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	MDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	85	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	MDCSow
11128.86.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	86	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
11128.87.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	87	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
11128.88.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	88	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
11128.89.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	89	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
11128.90.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	90	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
11128.91.FDCSow	UBERON:gastro-intestinal system	UBERON:excreta	UBERON:colon	2012-10-11	FDCSow	TRUE	335	urban biome	host-associated habitat	organic material	contents	host-associated	USA:AR	pig	Sus scrofa	91	9823	34.746	-92.289	Arkansas childrens nutriton center	TRUE	11128	colon content	pig gut metagenome	1510822	Formula diet	FDCSow
