sample_name	age	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_habitat_abbr	body_habitat_gut_status	body_habitat_simple	body_product	body_site	cause_death	collection_timestamp	common_name_indiv	country	depth	depth_m	description	diet	diet_specific	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	genspecies_abbr	genus	gut_status	host_class	host_common_name	host_common_name_indiv	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	isis_number	latitude	latitude_deg	longitude	longitude_deg	necropsy_number	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	species	sub_family	title	year_of_birth
1453.46834SDZ4.D2.Pnem.colon	13.75	years	0	0.0	SDZ4.D2	UBERON:colon	colon	colon.unhealthy	colon	UBERON:mucosa of descending colon	UBERON:mucosa of descending colon	Euth, GI	2004-07-02	gut metagenome	GAZ:United States of America	0	0	colon	Herbivore	leaf eater food, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Pnem	Pygathrix	unhealthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	46834	sk__Eukaryota	54133	590406	32.72	32.72	-117.16	-117.16	46834	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of descending colon	gut metagenome	female	nemaeus	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1990
1453.46834SDZ4.D3.Pnem.stom	13.75	years	0	0.0	SDZ4.D3	UBERON:stomach	stom	stomach.unhealthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	Euth, GI	2004-07-02	gut metagenome	GAZ:United States of America	0	0	presaccus 1	Herbivore	leaf eater food, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Pnem	Pygathrix	unhealthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	46834	sk__Eukaryota	54133	590406	32.72	32.72	-117.16	-117.16	46834	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	female	nemaeus	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1990
1453.47548SDZ2.A6.Cang.stom	5.5	years	0	0.0	SDZ2.A6	UBERON:stomach	stom	stomach.healthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	died pneumonia	2005-03-04	gut metagenome	GAZ:United States of America	0	0	tubus	Herbivore	leaf eater food, greens, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	47548	sk__Eukaryota	54133	599210	32.72	32.72	-117.16	-117.16	47548	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	male	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.47548SDZ2.B7.Cang.colon	5.5	years	0	0.0	SDZ2.B7	UBERON:colon	colon	colon.healthy	colon	UBERON:mucosa of descending colon	UBERON:mucosa of descending colon	died pneumonia	2005-03-04	gut metagenome	GAZ:United States of America	0	0	colon	Herbivore	leaf eater food, greens, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	47548	sk__Eukaryota	54133	599210	32.72	32.72	-117.16	-117.16	47548	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of descending colon	gut metagenome	male	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.47548SDZ2.C7.Cang.ileum	5.5	years	0	0.0	SDZ2.C7	UBERON:ileum	ileum	ileum.healthy	ileum	UBERON:ileal mucosa	UBERON:ileal mucosa	died pneumonia	2005-03-04	gut metagenome	GAZ:United States of America	0	0	ileum	Herbivore	leaf eater food, greens, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	47548	sk__Eukaryota	54133	599210	32.72	32.72	-117.16	-117.16	47548	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	ileal mucosa	gut metagenome	male	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.47548SDZ2.C8.Cang.stom	5.5	years	0	0.0	SDZ2.C8	UBERON:stomach	stom	stomach.healthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	died pneumonia	2005-03-04	gut metagenome	GAZ:United States of America	0	0	saccus	Herbivore	leaf eater food, greens, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	47548	sk__Eukaryota	54133	599210	32.72	32.72	-117.16	-117.16	47548	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	male	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.47548SDZ2.D1.Cang.jeju	5.5	years	0	0.0	SDZ2.D1	UBERON:jejunum	jeju	jejunum.healthy	jejunum	UBERON:jejunal mucosa	UBERON:jejunal mucosa	died pneumonia	2005-03-04	gut metagenome	GAZ:United States of America	0	0	jejunum	Herbivore	leaf eater food, greens, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	47548	sk__Eukaryota	54133	599210	32.72	32.72	-117.16	-117.16	47548	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	jejunal mucosa	gut metagenome	male	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.48000SDZ3.H2.Cang.stom	6	years	0	0.0	SDZ3.H2	UBERON:stomach	stom	stomach.healthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	Euth, renal	2005-06-19	gut metagenome	GAZ:United States of America	0	0	stomach pylorus distal	Herbivore	leaf eater food, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	48000	sk__Eukaryota	54133	599096	32.72	32.72	-117.16	-117.16	48000	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	female	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.48000SDZ3.H3.Cang.stom	6	years	0	0.0	SDZ3.H3	UBERON:stomach	stom	stomach.healthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	Euth, renal	2005-06-19	gut metagenome	GAZ:United States of America	0	0	stomach proximal	Herbivore	leaf eater food, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	48000	sk__Eukaryota	54133	599096	32.72	32.72	-117.16	-117.16	48000	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	female	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
1453.48000SDZ3.H4.Cang.stom	6	years	0	0.0	SDZ3.H4	UBERON:stomach	stom	stomach.healthy	stomach	UBERON:mucosa of stomach	UBERON:mucosa of stomach	Euth, renal	2005-06-19	gut metagenome	GAZ:United States of America	0	0	stomach pylorus proximal	Herbivore	leaf eater food, vegetables, roots	true	18.57	18.57	True	EMP sample	Host-associated	Animal	Animal proximal gut	urban biome	animal-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	Cang	Colobus	healthy	c__Mammalia	Red shanked douc langur	Northern Douc (Rhett)	f__Cercopithecidae	g__Pygathrix	k__Metazoa	o__Primates	p__Chordata	Pygathrix nemaeus	s__Pygathrix_nemaeus	48000	sk__Eukaryota	54133	599096	32.72	32.72	-117.16	-117.16	48000	UCSDMI	true	true	Host-associated	Animal	Animal proximal gut	1453	gut metagenome	749906	mucosa of stomach	gut metagenome	female	angolensis	Colobinae	The gut microbiota distinguishes GI-healthy and -unhealthy captive colobine primates	1999
