sample_name	age	age_month_selective	age_unit	altitude	altitude_m	anonymized_name	basophils	body_condition	collection_date	collection_timestamp	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	eosinophils	extracted_dna_avail_now	geo_loc_name	haemoglobin	hct	herd_identity_	host_subject_id	host_taxid	ifng_plate	ifng_run_date	ifngpoke_ng_ml	latitude	latitude_deg	longitude	longitude_deg	lymphocytes	milk	monocytes	physical_specimen_location	physical_specimen_remaining	pregnant	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	rbc	sample_scientific_name	sample_taxid	sample_type	scientific_name	segs	strongyle_epg	tb_status2	title	total_horn_width	wbc
1736.B11.0709	76	76	months	0	0.0	B11.0709	1	4.75	2009-07-30 00:00:00	2009-07-30	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B11	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	5	True	South Africa	12.4	39.1	Lower_Sabie	B11	37445	33	11/13/12	0.96	-23.82	-23.82	31.44	31.44	61	False	9	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	10.22	bovine gut metagenome	506599	stool	bovine gut metagenome	24	50	POS	Ezenwa_Cape_Buffalo	68	6.1
1736.B11.1109	80	80	months	0	0.0	B11.1109	0	3.75	2009-11-11 00:00:00	2009-11-11	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B11	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	4	True	South Africa	25	39.6	Lower_Sabie	B11	37445	5	10/24/12	2.569	-23.82	-23.82	31.44	31.44	24	False	45	CCME	True	mid	True	Host-associated	Animal	Animal distal gut	1736	9.88	bovine gut metagenome	506599	stool	bovine gut metagenome	27	150	POS	Ezenwa_Cape_Buffalo	65	80
1736.B12.0609	63	63	months	0	0.0	B12.0609	0	5	2009-06-09 00:00:00	2009-06-09	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	1	True	South Africa	10.9	36.9	Lower_Sabie	B12	37445	33	11/13/12	0.611	-23.82	-23.82	31.44	31.44	21	False	56	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	10.28	bovine gut metagenome	506599	stool	bovine gut metagenome	22	50	NEG	Ezenwa_Cape_Buffalo	76	7.9
1736.B12.0610	75	75	months	0	0.0	B12.0610	0	3.5	2010-06-15 00:00:00	2010-06-15	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	10	True	South Africa	12.7	44.8	Lower_Sabie	B12	37445	1	10/18/12	1.468	-23.82	-23.82	31.44	31.44	51	True	17	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	11.55	bovine gut metagenome	506599	stool	bovine gut metagenome	22	250	NEG	Ezenwa_Cape_Buffalo	77.5	10.2
1736.B12.0611	87	87	months	0	0.0	B12.0611	0	2.75	2011-06-22 00:00:00	2011-06-22	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	13	True	South Africa	16.7	41	Lower_Sabie	B12	37445	20	11/5/12	0.516	-23.82	-23.82	31.44	31.44	47	True	20	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	9.51	bovine gut metagenome	506599	stool	bovine gut metagenome	20	100	NEG	Ezenwa_Cape_Buffalo	79	6.7
1736.B12.1109	68	68	months	0	0.0	B12.1109	0	4.25	2009-11-13 00:00:00	2009-11-13	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	11	True	South Africa	25	37	Lower_Sabie	B12	37445	8	10/25/12	0.68	-23.82	-23.82	31.44	31.44	1	False	65	CCME	True	late	True	Host-associated	Animal	Animal distal gut	1736	9.19	bovine gut metagenome	506599	stool	bovine gut metagenome	23	0	NEG	Ezenwa_Cape_Buffalo	76	80
1736.B12.1110	80	80	months	0	0.0	B12.1110	0	3.75	2010-11-23 00:00:00	2010-11-23	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	20	True	South Africa	10.5	32.6	Lower_Sabie	B12	37445	13	10/27/12	1.001	-23.82	-23.82	31.44	31.44	48	False	16	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	7.66	bovine gut metagenome	506599	stool	bovine gut metagenome	16	0	NEG	Ezenwa_Cape_Buffalo	78.5	7
1736.B12.1111	92	92	months	0	0.0	B12.1111	0	2	2011-11-15 00:00:00	2011-11-15	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B12	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	7	True	South Africa	12.1	40.3	Lower_Sabie	B12	37445	23	11/7/12	1.495	-23.82	-23.82	31.44	31.44	48	True	25	CCME	True	mid	True	Host-associated	Animal	Animal distal gut	1736	9.32	bovine gut metagenome	506599	stool	bovine gut metagenome	20	0	NEG	Ezenwa_Cape_Buffalo	80	7.9
1736.B13b.0510	52	52	months	0	0.0	B13b.0510	0	3	2010-05-13 00:00:00	2010-05-13	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	14	True	South Africa	11.2	41.2	Croc_Bridge	B13b	37445	1	10/18/12	1.002	-23.82	-23.82	31.44	31.44	43	True	19	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	9.76	bovine gut metagenome	506599	stool	bovine gut metagenome	24	200	NEG	Ezenwa_Cape_Buffalo	62	10.3
1736.B13b.0611	65	65	months	0	0.0	B13b.0611	0	3	2011-06-05 00:00:00	2011-06-05	GAZ:South Africa	0	0	Fecal sample taken from cape buffalo B13b	True	300	300	True	EMP sample	Host-associated	Animal	Animal distal gut	rangeland biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	rangeland biome	Not applicable	Not applicable	10	True	South Africa	12.1	37	Croc_Bridge	B13b	37445	20	11/5/12	0.511	-23.82	-23.82	31.44	31.44	39	False	18	CCME	True	no	True	Host-associated	Animal	Animal distal gut	1736	7.99	bovine gut metagenome	506599	stool	bovine gut metagenome	33	100	POS	Ezenwa_Cape_Buffalo	68.5	7.8
