sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	day	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	family	host_common_name	host_subject_id	host_taxid	house	house_day_subject_surface	house_day_surface	house_surface	latitude	latitude_deg	life_stage	longitude	longitude_deg	move_time	moved	notes	number_children	number_residents_human	percent_adult_residents	percent_male	pet_farm_animal	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_order	sample_scientific_name	sample_taxid	sample_type	sex	source	source1	sourcesink	subject	subject_surface	surface	time	title
2192.H07b.Foot.4040.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-03	GAZ:United States of America	D19	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D19.Person_07.1.Foot	H07b.D19.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1545	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Foot	Foot	6:35AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4043.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-03	GAZ:United States of America	D19	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D19.Person_07.2.Foot	H07b.D19.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1548	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Foot	Foot	6:35AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4064.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-05	GAZ:United States of America	D20	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D20.Person_07.1.Foot	H07b.D20.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1559	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Foot	Foot	9:30AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4067.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-05	GAZ:United States of America	D20	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D20.Person_07.2.Foot	H07b.D20.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1562	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Foot	Foot	9:30AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4088.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-09	GAZ:United States of America	D21	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D21.Person_07.1.Foot	H07b.D21.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1573	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Foot	Foot	6:28AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4091.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-09	GAZ:United States of America	D21	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D21.Person_07.2.Foot	H07b.D21.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1576	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Foot	Foot	6:28AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4112.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-11	GAZ:United States of America	D22	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D22.Person_07.1.Foot	H07b.D22.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1585	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Foot	Foot	6:50AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4115.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-11	GAZ:United States of America	D22	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D22.Person_07.2.Foot	H07b.D22.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1588	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Foot	Foot	6:50AM	Gilbert_house_forensics_BE
2192.H07b.Foot.4136.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-13	GAZ:United States of America	D23	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.1	9606	H07b	H07b.D23.Person_07.1.Foot	H07b.D23.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1597	human skin metagenome	539655	XXQIITAXX	female	Person	Person	source	Person_07.1	Person_07.1.Foot	Foot	3:35PM	Gilbert_house_forensics_BE
2192.H07b.Foot.4139.lane6.NoIndex.L006	0	0.0	H07b.Foot	UBERON:skin	UBERON:sebum	UBERON:skin of foot	2012-07-13	GAZ:United States of America	D23	0	0	H07b.Foot	true	181.32	181.32	True	EMP sample	Host-associated	Animal	Animal surface	urban biome	human-associated habitat	sebum	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	7	human	Person_07.2	9606	H07b	H07b.D23.Person_07.2.Foot	H07b.D23.Foot	H07b.Foot	41.88	41.88	adult	-87.63	-87.63	After	true		0	2	1	0.5	Cat	ANL	true	true	Host-associated	Animal	Animal surface	2192	1600	human skin metagenome	539655	XXQIITAXX	male	Person	Person	source	Person_07.2	Person_07.2.Foot	Foot	3:35PM	Gilbert_house_forensics_BE
