sample_name	age	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_habitat_abbr	body_habitat_gut_status	body_habitat_simple	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	fecal_preservation_method	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	hours_from_collection	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	provenance	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sun_shade	title	weeks_preserved
2182.CPZF2A		years	0	0.0	CPZF2A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF2A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF2A	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF2B		years	0	0.0	CPZF2B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF2B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF2B	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZF2C		years	0	0.0	CPZF2C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF2C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF2C	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF2D		years	0	0.0	CPZF2D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF2D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF2D	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZFOB		years	0	0.0	CPZFOB	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZFOB	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZFOB	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZFOD.a		years	0	0.0	CPZFOD	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZFOD	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZFOD	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZFOD.b		years	0	0.0	CPZFOD	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZFOD	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZFOD	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX12A		years	0	0.0	CPZX12A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX12A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX12A	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX12B		years	0	0.0	CPZX12B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX12B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX12B	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX12C		years	0	0.0	CPZX12C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX12C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX12C	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX12D		years	0	0.0	CPZX12D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX12D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX12D	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX24A		years	0	0.0	CPZX24A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX24A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX24A	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX24B		years	0	0.0	CPZX24B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX24B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX24B	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX24C		years	0	0.0	CPZX24C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX24C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX24C	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX24D		years	0	0.0	CPZX24D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX24D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX24D	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX2A		years	0	0.0	CPZX2A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX2A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX2A	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX2B		years	0	0.0	CPZX2B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX2B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX2B	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZX2C		years	0	0.0	CPZX2C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX2C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX2C	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZX2D		years	0	0.0	CPZX2D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZX2D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZX2D	sk__Eukaryota	9509	2.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZXOA		years	0	0.0	CPZXOA	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZXOA	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	freeze	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZXOA	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
