sample_name	age	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_habitat_abbr	body_habitat_gut_status	body_habitat_simple	body_product	body_site	collection_timestamp	country	depth	depth_m	description	diet	diet_description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	fecal_preservation_method	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	hours_from_collection	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	provenance	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sun_shade	title	weeks_preserved
2182.CPZF0A		years	0	0.0	CPZF0A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF0A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF0A	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF0C		years	0	0.0	CPZF0C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF0C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF0C	sk__Eukaryota	9509	0.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF12A		years	0	0.0	CPZF12A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF12A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF12A	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF12B		years	0	0.0	CPZF12B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF12B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF12B	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZF12C		years	0	0.0	CPZF12C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF12C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF12C	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF12D		years	0	0.0	CPZF12D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF12D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF12D	sk__Eukaryota	9509	12.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZF24A		years	0	0.0	CPZF24A	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF24A	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF24A	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF24B		years	0	0.0	CPZF24B	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF24B	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF24B	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
2182.CPZF24C		years	0	0.0	CPZF24C	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF24C	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF24C	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		sun	Hale_folivorous_primates_MiSeq	
2182.CPZF24D		years	0	0.0	CPZF24D	UBERON:feces	feces	feces.NA	feces	UBERON:feces	UBERON:feces	2013-08-28	GAZ:United States of America	0	0	Spider monkey CPZF24D	herbivore	fruits, vegatables, primate biscuits	true	212.67	212.67	True	EMP sample	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	urban biome	Not applicable	true	FTA	c__Mammalia	black-handed spider monkey	f__Atelidae	g__Ateles	k__Metazoa	o__Primates	p__Chordata	Ateles geoffroyi	s__Ateles_geoffroyi	CPZF24D	sk__Eukaryota	9509	24.0	40.417	40.417	-86.875	-86.875	Purdue-West Lafayette	true	Columbian Park Zoo	true	Host-associated	Animal	Animal distal gut	2182	primate metagenome	1441288	stool	gut metagenome		shade	Hale_folivorous_primates_MiSeq	
