sample_name	age	age_group	age_unit	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	colony_tetracycline	country	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	larval_tetracycline	latitude	latitude_deg	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_name_in_tube	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	title	village
1064.W.CV126	Not applicable	larvae	days	0	0.0	W.CV126	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV126	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	9	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV127	Not applicable	larvae	days	0	0.0	W.CV127	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV127	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	10	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV128	Not applicable	larvae	days	0	0.0	W.CV128	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV128	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	11	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV129	Not applicable	pupae	days	0	0.0	W.CV129	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV129	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	12	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV130	Not applicable	pupae	days	0	0.0	W.CV130	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV130	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	13	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV131	Not applicable	pupae	days	0	0.0	W.CV131	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV131	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	14	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV132	Not applicable	pupae	days	0	0.0	W.CV132	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV132	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	15	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV133	Not applicable	pupae	days	0	0.0	W.CV133	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV133	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	16	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV134	Not applicable	pupae	days	0	0.0	W.CV134	UBERON:multi-cellular organism	UBERON:body	UBERON:body	Not applicable	True	GAZ:Puerto Rico	0	0	Whole Pupae body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV134	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	17	gut metagenome	749906	bee pupa	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
1064.W.CV251	Not applicable	larvae	days	0	0.0	W.CV251	UBERON:multi-cellular organism	UBERON:body	UBERON:body	2011-07-11	True	GAZ:Puerto Rico	0	0	Whole Larval Body	True	43.1	43.1	True	EMP sample	Host-associated	Animal	Animal corpus	village biome	insecta-associated habitat	organic material	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	village biome	Not applicable	Not applicable	PuertoRico:Gurabo	c__Insecta	honey bee	f__Apidae	g__Apis	k__Metazoa	o__Hymenoptera	p__Arthropoda	Apis mellifera	s__Apis_mellifera	W-CV251	sk__Eukaryota	7460	True	18.22	18.22	-65.99	-65.99	ANL	FALSE	True	Host-associated	Animal	Animal corpus	1064	274	gut metagenome	749906	bee larva	insect metagenome	Not applicable	Microbiome of honey bees from Puerto Rico	Gurabo
