sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_date	collection_date_unformat	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sex_def_prob	title	unnamed_3
1665.AA.BLANK1	0	0.0	AA.BLANK1	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK1 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK1	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK10	0	0.0	AA.BLANK10	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK10 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK10	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK11	0	0.0	AA.BLANK11	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK11 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK11	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK12	0	0.0	AA.BLANK12	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK12 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK12	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK13	0	0.0	AA.BLANK13	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK13 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK13	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK14	0	0.0	AA.BLANK14	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK14 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK14	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK15	0	0.0	AA.BLANK15	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK15 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK15	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK16	0	0.0	AA.BLANK16	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK16 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK16	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK17	0	0.0	AA.BLANK17	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK17 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK17	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK18	0	0.0	AA.BLANK18	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK18 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK18	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
