sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_date	collection_date_unformat	collection_timestamp	country	depth	depth_m	description	diet	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	life_stage	longitude	longitude_deg	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scientific_name	sex	sex_def_prob	title	unnamed_3
1665.AA.BLANK19	0	0.0	AA.BLANK19	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK19 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK19	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK2	0	0.0	AA.BLANK2	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK2 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK2	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK20	0	0.0	AA.BLANK20	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK20 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK20	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK21	0	0.0	AA.BLANK21	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK21 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK21	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK22	0	0.0	AA.BLANK22	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK22 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK22	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK23	0	0.0	AA.BLANK23	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK23 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK23	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK24	0	0.0	AA.BLANK24	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK24 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK24	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK25	0	0.0	AA.BLANK25	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK25 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK25	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK26	0	0.0	AA.BLANK26	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK26 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK26	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK27	0	0.0	AA.BLANK27	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK27 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK27	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK28	0	0.0	AA.BLANK28	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK28 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK28	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK29	0	0.0	AA.BLANK29	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK29 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK29	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK3	0	0.0	AA.BLANK3	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK3 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK3	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK30	0	0.0	AA.BLANK30	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK30 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK30	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK31	0	0.0	AA.BLANK31	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK31 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK31	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK4	0	0.0	AA.BLANK4	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK4 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK4	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK5	0	0.0	AA.BLANK5	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK5 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK5	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK6	0	0.0	AA.BLANK6	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK6 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK6	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK7	0	0.0	AA.BLANK7	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK7 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK7	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK8	0	0.0	AA.BLANK8	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK8 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK8	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE	Control	Negative	Sterile water blank	1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.AA.BLANK9	0	0.0	AA.BLANK9	Not applicable	Not applicable	Not applicable	04/17/2014		Not applicable	GAZ:United States of America	0	0	AA.BLANK9 control	Not applicable	TRUE	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	TRUE	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	AA.BLANK9	Not applicable	Not applicable	40.01	40.01	Missing: Not provided	-105.27	-105.27	WHOI	TRUE	TRUE				1665	metagenomes	408169	control blank	metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	control
1665.CCS2003.121	0	0.0	136	UBERON:skin	UBERON:mucus	UBERON:skin	8/15/03	8/15/03	2003-08-15	GAZ:United States of America	0	0	CCS2003.121 skin microbiome of Balaenoptera acutorostrata (Minke whale)	carnivore	TRUE	8.005999565	8.005999565	True	EMP sample	Host-associated	Animal	Animal surface	marine biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:Northeast region	c__Mammalia	minke whale	f__Balaenopteridae	g__Balaenoptera	k__Metazoa	o__Cetacea	p__Chordata	Balaenoptera acutorostrata	s__Balaenoptera_acutorostrata	CCS2003.121	sk__Eukaryota	9767	41.67293	41.67293	Missing: Not provided	-70.33909	-70.33909	WHOI	TRUE	TRUE	Host-associated	Animal	Animal surface	1665	skin metagenome	1338477	skin	skin metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	skin microbiome of Balaenoptera acutorostrata (Minke whale)
1665.CCS2003.196	0	0.0	151	UBERON:skin	UBERON:mucus	UBERON:skin	10/9/03	10/9/03	2003-10-09	GAZ:United States of America	0	0	CCS2003.196  skin microbiome of Balaenoptera borealis (Sei whale)	carnivore	TRUE	8.005999565	8.005999565	True	EMP sample	Host-associated	Animal	Animal surface	marine biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:Northeast region	c__Mammalia	sei whale	f__Balaenopteridae	g__Balaenoptera	k__Metazoa	o__Cetacea	p__Chordata	Balaenoptera borealis	s__Balaenoptera_borealis	CCS2003.196	sk__Eukaryota	9768	41.67293	41.67293	Missing: Not provided	-70.33909	-70.33909	WHOI	TRUE	TRUE	Host-associated	Animal	Animal surface	1665	skin metagenome	1338477	skin	skin metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	skin microbiome of Balaenoptera borealis (Sei whale)
1665.CCS2004.64	0	0.0	141	UBERON:skin	UBERON:mucus	UBERON:skin	8/17/04	8/17/04	2004-08-17	GAZ:United States of America	0	0	CCS2004.64 skin microbiome of Balaenoptera borealis (Sei whale)	carnivore	TRUE	8.005999565	8.005999565	True	EMP sample	Host-associated	Animal	Animal surface	marine biome	animal-associated habitat	mucus	host-associated	biome	aquatic biome	marine biome	Not applicable	Not applicable	Not applicable	TRUE	USA:Northeast region	c__Mammalia	sei whale	f__Balaenopteridae	g__Balaenoptera	k__Metazoa	o__Cetacea	p__Chordata	Balaenoptera borealis	s__Balaenoptera_borealis	CCS2004.64	sk__Eukaryota	9768	41.67293	41.67293	Missing: Not provided	-70.33909	-70.33909	WHOI	TRUE	TRUE	Host-associated	Animal	Animal surface	1665	skin metagenome	1338477	skin	skin metagenome	Missing: Not provided	Missing: Not provided	Marine mammal skin microbiomes	skin microbiome of Balaenoptera borealis (Sei whale)
