sample_name	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	description	dna_extracted	elevation	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_subject_id	host_taxid	latitude	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	taxon_id	title	treatment_day	treatment_group
10916.100	control_d0_25	UBERON:feces	UBERON:feces	UBERON:feces	2014	control d0 25	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	control_d0_25	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	0	control
10916.101	pseudopregnancy_d0_33	UBERON:feces	UBERON:feces	UBERON:feces	2014	pseudopregnancy d0 33	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pseudopregnancy_d0_33	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	0	pseudopregnancy
10916.102	pregnancy_d0_41	UBERON:feces	UBERON:feces	UBERON:feces	2014	pregnancy d0 41	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pregnancy_d0_41	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	0	pregnancy
10916.103	control_d3_28	UBERON:feces	UBERON:feces	UBERON:feces	2014	control d3 28	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	control_d3_28	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	3	control
10916.104	pseudopregnancy_d3_36	UBERON:feces	UBERON:feces	UBERON:feces	2014	pseudopregnancy d3 36	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pseudopregnancy_d3_36	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	3	pseudopregnancy
10916.105	pregnancy_d3_44	UBERON:feces	UBERON:feces	UBERON:feces	2014	pregnancy d3 44	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pregnancy_d3_44	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	3	pregnancy
10916.107	pregnancy_d7_39	UBERON:feces	UBERON:feces	UBERON:feces	2014	pregnancy d7 39	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pregnancy_d7_39	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	7	pregnancy
10916.108	control_d10_26	UBERON:feces	UBERON:feces	UBERON:feces	2014	control d10 26	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	control_d10_26	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	10	control
10916.112	control_d0_26	UBERON:feces	UBERON:feces	UBERON:feces	2014	control d0 26	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	control_d0_26	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	0	control
10916.113	pseudopregnancy_d0_34	UBERON:feces	UBERON:feces	UBERON:feces	2014	pseudopregnancy d0 34	TRUE	900	urban biome	animal-associated habitat	feces	host-associated	Israel:Safed	mouse	Mus musculus	pseudopregnancy_d0_34	10090	32.962	35.497	Bar- Ilan University	FALSE	10916	stool	mouse gut metagenome	410661	mouse gut microbiome in pregnancy and pseudopregnancy	0	pseudopregnancy
