sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	cow_bred	crude_protein	days_in_milk	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	feed_dry_matter	feed_intake	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	milk_fat	milk_production	milk_solids_protein	monensin_level	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scentific_name	scientific_name	somatic_cell_count	somatic_cell_count_linear	title
1621.A8839	0	0.0	A8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	40	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	70	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8866	0	0.0	A8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	39	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	75	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8873	0	0.0	A8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	44	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	96	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8876	0	0.0	A8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	31	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	72	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8783	0	0.0	B8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16	GAZ:United States of America	n	Missing: Not collected	49	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	89	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8810	0	0.0	B8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 00:00:00	GAZ:United States of America	n	Missing: Not collected	40	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	70	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8817	0	0.0	B8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 00:00:00	GAZ:United States of America	n	Missing: Not collected	35	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	80	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8827	0	0.0	B8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16	GAZ:United States of America	n	Missing: Not collected	47	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	95	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8839	0	0.0	B8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 00:00:00	GAZ:United States of America	n	Missing: Not collected	42	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	72	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8866	0	0.0	B8866	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16	GAZ:United States of America	n	Missing: Not collected	41	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8866	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	75	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8873	0	0.0	B8873	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 00:00:00	GAZ:United States of America	n	Missing: Not collected	46	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8873	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	93	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.B8876	0	0.0	B8876	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-16 00:00:00	GAZ:United States of America	n	Missing: Not collected	33	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8876	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	82	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8783	0	0.0	C8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	7.54	54	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	44.4	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	94	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8810	0	0.0	C8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	6.73	45	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	39.6	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	50	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8817	0	0.0	C8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	7	40	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	41.2	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	78	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8827	0	0.0	C8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	7.1	52	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	41.8	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	87	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.C8839	0	0.0	C8839	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-21 00:00:00	GAZ:United States of America	n	6.27	47	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	45.35	36.9	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8839	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	70	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
