sample_name	altitude	altitude_m	anonymized_name	body_habitat	body_product	body_site	collection_timestamp	country	cow_bred	crude_protein	days_in_milk	depth	depth_m	description	dna_extracted	elevation	elevation_m	emp_release1	empo_0	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	envo_biome_0	envo_biome_1	envo_biome_2	envo_biome_3	envo_biome_4	envo_biome_5	extracted_dna_avail_now	feed_dry_matter	feed_intake	geo_loc_name	host_class	host_common_name	host_family	host_genus	host_kingdom	host_order	host_phylum	host_scientific_name	host_species	host_subject_id	host_superkingdom	host_taxid	latitude	latitude_deg	longitude	longitude_deg	milk_fat	milk_production	milk_solids_protein	monensin_level	physical_specimen_location	physical_specimen_remaining	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	sample_scientific_name	sample_taxid	sample_type	scentific_name	scientific_name	somatic_cell_count	somatic_cell_count_linear	title
1621.1BLK	0	0.0	1BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.2BLK	0	0.0	2BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	2BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.3BLK	0	0.0	3BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	3BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.4BLK	0	0.0	4BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	4BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.5BLK	0	0.0	5BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	5BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.6BLK	0	0.0	6BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	6BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.7BLK	0	0.0	7BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	7BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.8BLK	0	0.0	8BLK	UBERON:feces	UBERON:feces	UBERON:feces	Not applicable	GAZ:United States of America	Not applicable	Not applicable	Not applicable	0	0	Blank	True	1624.1	1624.1	True	EMP sample	Control	Negative	Sterile water blank	aquatic biome	water	sterile water	misc environment	biome	aquatic biome	Not applicable	Not applicable	Not applicable	Not applicable	True	Not applicable	Not applicable	USA:CO:Boulder	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	8BLK	Not applicable	Not applicable	40.015	40.015	-105.27	-105.27	Missing: Not collected	Not applicable	Not applicable	Not applicable	CCME	True	True	Control	Negative	Sterile water blank	1621	metagenomes	408169	control blank	metagenome	metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8783	0	0.0	A8783	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	47	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8783	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	97	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8810	0	0.0	A8810	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	38	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8810	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	79	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8817	0	0.0	A8817	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	33	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8817	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	78	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
1621.A8827	0	0.0	A8827	UBERON:feces	UBERON:feces	UBERON:feces	2011-02-14 00:00:00	GAZ:United States of America	n	Missing: Not collected	45	0	0	Microbial community of cow fed a diet not containing the antibiotic Monensin	True	120.163	120.163	True	EMP sample	Host-associated	Animal	Animal distal gut	dense settlement biome	animal-associated habitat	feces	host-associated	biome	terrestrial biome	anthropogenic terrestrial biome	dense settlement biome	Not applicable	Not applicable	True	Missing: Not collected	Missing: Not collected	USA:NY	c__Mammalia	cattle	f__Bovidae	g__Bos	k__Metazoa	o__	p__Chordata	Bos taurus	s__Bos_taurus	8827	sk__Eukaryota	9913	42.444	42.444	-76.502	-76.502	Missing: Not collected	84	Missing: Not collected	0	CCME	True	True	Host-associated	Animal	Animal distal gut	1621	bovine gut metagenome	506599	stool	bovine gut metagenome	bovine gut metagenome	Missing: Not collected	Missing: Not collected	Spirito_Monensin_Cow_Hindgut
